class or id,tag_name,start_x,start_y,size_w,size_h,average_color,salient_level
a,link,950,6533,76.80000305175781,13.5,0,0
a,link,950,6572,63.366668701171875,13.5,0,0
a,link,1236,1388,44.5,44.0,12,5.474238063558744
span,span,95,628,162.43333435058594,49.19999694824219,75,57.03087323428376
span,span,283,628,175.48333740234375,49.19999694824219,46,35.31084511032945
span,span,894,679,300.8500061035156,96.0,16,11.082929644778234
span,span,85,1007,56.80000305175781,22.800003051757812,36,23.43020764969975
span,span,503,1007,122.26666259765624,22.800003051757812,27,17.72626159528135
span,span,655,1007,56.80000305175781,22.800003051757812,35,22.767289883713733
span,span,1073,1007,122.26666259765624,22.800003051757812,130,77.52904432759189
span,span,85,1404,56.80000305175781,22.79998779296875,37,19.0565492467718
span,span,523,1404,101.60000610351562,22.79998779296875,41,20.958129474712287
span,span,655,1404,79.19999694824219,22.79998779296875,31,15.671146042410522
span,span,1073,1404,122.26666259765624,22.79998779296875,38,17.798695755113485
span,span,85,1800,79.19999694824219,22.800003051757812,0,0
span,span,503,1800,122.26666259765624,22.800003051757812,0,0
span,span,655,1800,79.19999694824219,22.800003051757812,0,0
span,span,1093,1800,101.60000610351562,22.800003051757812,0,0
span,span,85,2196,79.19999694824219,22.800003051757812,0,0
span,span,523,2196,101.60000610351562,22.800003051757812,0,0
span,span,655,2196,79.19999694824219,22.800003051757812,0,0
span,span,959,2196,236.0,22.800003051757812,0,0
span,span,85,2593,56.80000305175781,22.79998779296875,0,0
span,span,503,2593,122.26666259765624,22.79998779296875,0,0
span,span,655,2593,79.19999694824219,22.79998779296875,0,0
span,span,1073,2593,122.26666259765624,22.79998779296875,0,0
span,span,85,3019,79.19999694824219,22.800003051757812,0,0
span,span,503,3019,122.26666259765624,22.800003051757812,0,0
span,span,655,3019,79.19999694824219,22.800003051757812,0,0
span,span,1093,3019,101.60000610351562,22.800003051757812,0,0
span,span,85,3415,56.80000305175781,22.800003051757812,0,0
span,span,523,3415,101.60000610351562,22.800003051757812,0,0
span,span,655,3415,56.80000305175781,22.800003051757812,0,0
span,span,1073,3415,122.26666259765624,22.800003051757812,0,0
span,span,85,3812,79.19999694824219,22.79998779296875,0,0
span,span,523,3812,101.60000610351562,22.79998779296875,0,0
span,span,655,3812,79.19999694824219,22.79998779296875,0,0
span,span,1093,3812,101.60000610351562,22.79998779296875,0,0
span,span,85,4178,67.43333435058594,22.800003051757812,0,0
span,span,503,4178,122.26666259765624,22.800003051757812,0,0
span,span,655,4178,79.19999694824219,22.800003051757812,0,0
span,span,1073,4178,122.26666259765624,22.800003051757812,0,0
span,span,85,4574,67.43333435058594,22.800003051757812,0,0
span,span,389,4574,236.0,22.800003051757812,0,0
span,span,655,4574,79.19999694824219,22.800003051757812,0,0
span,span,1093,4574,101.60000610351562,22.800003051757812,0,0
span,span,85,4971,67.43333435058594,22.79998779296875,0,0
span,span,568,4971,56.80000305175781,22.79998779296875,0,0
span,span,655,4971,79.19999694824219,22.79998779296875,0,0
span,span,1073,4971,122.26666259765624,22.79998779296875,0,0
span,span,85,5367,79.19999694824219,22.800003051757812,0,0
span,span,523,5367,101.60000610351562,22.800003051757812,0,0
span,span,224,5859,167.60000610351562,32.5,0,0
span,span,85,5899,445.0,400.0,0,0
span,span,913,5859,119.25,32.5,0,0
img,image,5,731,104.11666870117188,50.0,46,33.48312817151412
img,image,1210,736,40.0,40.0,46,30.11225364079055
img,image,0,260,50.0,80.0,78,65.38451218387878
img,image,1230,260,50.0,80.0,63,47.25698411371138
img,image,370,5631,540.0,120.0,0,0
img,image,138,6389,245.0,117.68333435058594,0,0
